	r2	mse	pearson	spearman	kendall	prediction_groups	model
Jores21CNN_trial_2_enrichment_predictions	0.4346893682743088	1.3306474578915894	0.6597520633714177	0.6507353679986959	0.46027295859765666	Jores21CNN	combined
Jores21CNN_trial_3_enrichment_predictions	0.4409697280992714	1.3158645325993124	0.6644312121292658	0.6559898839752832	0.4645271669974722	Jores21CNN	combined
Jores21CNN_trial_4_enrichment_predictions	0.44030584906882764	1.3174271937180513	0.6644400041602081	0.6553047218267367	0.4638297715059298	Jores21CNN	combined
Jores21CNN_trial_5_enrichment_predictions	0.4370348484997775	1.3251265864902724	0.6618625054472842	0.6541704974136424	0.4624228393386354	Jores21CNN	combined
ssCNN_trial_1_enrichment_predictions	0.4243638515666541	1.3549520115075646	0.6516024438451841	0.6430244452989692	0.45395896460214635	ssCNN	combined
ssCNN_trial_2_enrichment_predictions	0.42269971434316567	1.3588691144979292	0.6501554000591278	0.6396421514264341	0.4519912600011609	ssCNN	combined
ssCNN_trial_3_enrichment_predictions	0.419964393075526	1.3653076070488135	0.6480981770911962	0.6376391299843265	0.44927415548492805	ssCNN	combined
ssCNN_trial_4_enrichment_predictions	0.4165923196995137	1.3732449084434777	0.6467562118818289	0.6336039447079332	0.4465609833043278	ssCNN	combined
ssCNN_trial_5_enrichment_predictions	0.42693638942557466	1.3488966840995997	0.6543773362083629	0.6432677469633067	0.45423174514906106	ssCNN	combined
ssHybrid_trial_1_enrichment_predictions	0.42161056931744934	1.3614327812298297	0.6506031523743877	0.6402925116157276	0.45167257667579397	ssHybrid	combined
ssHybrid_trial_2_enrichment_predictions	0.4238769968895796	1.3560979866618514	0.652529001849913	0.6417933098207327	0.45331957809834295	ssHybrid	combined
ssHybrid_trial_3_enrichment_predictions	0.42330249556863997	1.357450267477675	0.6507086420290268	0.639488295478507	0.45084564012079803	ssHybrid	combined
ssHybrid_trial_4_enrichment_predictions	0.42428195658878287	1.3551447787013917	0.6524224419314466	0.6403456865520791	0.4522826137863664	ssHybrid	combined
ssHybrid_trial_5_enrichment_predictions	0.41941065678925404	1.3666110104173665	0.6512765117449145	0.641178569481198	0.4523747699469852	ssHybrid	combined
