RBP	Metric	Kipoi	MultiTask	SetA	SingleTask	Correlation	Observed intensities	DeepBind	MatrixREDUCE	Ray et al.
RNCMPT00023	E-scores	0.870499840546387	0.957391349327391	0.9424182361504416	0.9655525371448102	Pearson	0.943	0.961	0.953	0.708
RNCMPT00023	Intensities	0.5647610086937048	0.6786427329476532		0.6713043123690455	Pearson		0.647	0.612	0.19
RNCMPT00023	Z-scores	0.7594070048324363	0.9324689974745336	0.93613962670191	0.9298456050550796	Pearson	0.936	0.916	0.915	0.208
RNCMPT00024	AUCs	0.9595047293404768	0.9651666786744746	0.9557598962434246	0.970800942730118	Pearson	0.956	0.97	0.969	0.874
RNCMPT00024	E-scores	0.9577643634418064	0.9620001275454804	0.9423989448144444	0.967132267448888	Pearson	0.943	0.968	0.969	0.876
RNCMPT00024	Intensities	0.6308219369130903	0.6416665240529978		0.6167873891947171	Pearson		0.645	0.646	0.237
RNCMPT00024	Z-scores	0.9347901128390728	0.9574336320504888	0.9493511739494536	0.9636107676009182	Pearson	0.949	0.958	0.959	0.293
RNCMPT00025	AUCs	0.9198498998336356	0.9382531089302614	0.9375627706163348	0.928843553119859	Pearson	0.934	0.916	0.918	0.677
RNCMPT00025	E-scores	0.9275356304074313	0.941595852748367	0.931979874833186	0.9366803982829622	Pearson	0.932	0.933	0.928	0.76
RNCMPT00025	Intensities	0.5338280257505811	0.5674273273888158		0.5276842045882362	Pearson		0.455	0.423	0.252
RNCMPT00025	Z-scores	0.8302330111567252	0.9215690090899892	0.9320795441911408	0.8561623671823919	Pearson	0.932	0.853	0.863	0.307
RNCMPT00026	AUCs	0.9558864703876216	0.9418199020267074	0.9313929461051256	0.952174805509472	Pearson	0.928	0.95	0.937	0.759
RNCMPT00026	E-scores	0.9575467109685648	0.9458075754186264	0.9253509417218634	0.9573345089345228	Pearson	0.925	0.955	0.93	0.765
RNCMPT00026	Intensities	0.5633905264656263	0.5569290434787052		0.5691528099849278	Pearson		0.376	0.313	0.106
RNCMPT00026	Z-scores	0.9360608235464368	0.924465357706322	0.9104384330511632	0.9409835962192968	Pearson	0.91	0.938	0.921	0.241
RNCMPT00027	AUCs	0.9488025882440644	0.9531931618925916	0.9528131905592652	0.9597753386656404	Pearson	0.952	0.937	0.933	0.777
RNCMPT00027	E-scores	0.9464497996360752	0.9531468857752892	0.9345642026125456	0.954958777333422	Pearson	0.935	0.932	0.921	0.747
RNCMPT00027	Intensities	0.6459456378648506	0.6515430750227499		0.6524708357578691	Pearson		0.559	0.504	0.207
RNCMPT00027	Z-scores	0.9266562939573432	0.9298706235710004	0.9446356722788803	0.9301367167982154	Pearson	0.945	0.91	0.922	0.336
RNCMPT00028	AUCs		0.902046435820804	0.9539804197777966	0.8363203638741378	Pearson	0.954	0.81	0.81	0.648
RNCMPT00028	E-scores		0.9021920817510344	0.9384777914518314	0.8803032758534387	Pearson	0.939	0.857	0.863	0.735
RNCMPT00028	Intensities		0.4879839877091996		0.411192920485899	Pearson		0.207	0.181	0.085
RNCMPT00028	Z-scores		0.8559480720147028	0.948091846630978	0.7879463276239784	Pearson	0.948	0.635	0.718	0.274
RNCMPT00029	AUCs		0.934665874037504	0.9409198428610224	0.902284596952996	Pearson	0.941	0.915	0.915	0.694
RNCMPT00029	E-scores		0.931602626892176	0.9316557356277356	0.9260183758194008	Pearson	0.932	0.929	0.934	0.756
RNCMPT00029	Intensities		0.5246666182564457		0.4912555557774651	Pearson		0.468	0.452	0.241
RNCMPT00029	Z-scores		0.9015372968113448	0.9447492520885652	0.887396653462006	Pearson	0.945	0.858	0.877	0.281
RNCMPT00031	AUCs		0.723954376380136	0.8491677954601797	0.5933822054010895	Pearson	0.848	0.629	0.633	0.107
RNCMPT00031	E-scores		0.7171080376243101	0.8211209029959301	0.6410799303651065	Pearson	0.814	0.674	0.667	0.217
RNCMPT00031	Intensities		0.4294255291483713		0.4072673309015492	Pearson		0.318	0.262	0.185
RNCMPT00031	Z-scores		0.6390619962847403	0.8158099139925855	0.4450252037502686	Pearson	0.816	0.505	0.53	0.243
RNCMPT00032	AUCs		0.8902972626634446	0.9321026658877868	0.8625906405970396	Pearson	0.932	0.83	0.866	0.768
RNCMPT00032	E-scores		0.9132145309959824	0.926834511902557	0.8975404994918613	Pearson	0.927	0.893	0.901	0.813
RNCMPT00032	Intensities		0.5669517252624253		0.5002559697455959	Pearson		0.482	0.442	0.229
RNCMPT00032	Z-scores		0.879247004605664	0.9228928555761378	0.8646730715969664	Pearson	0.923	0.835	0.862	0.34
RNCMPT00033	AUCs		0.9216837306374016	0.9269288999919838	0.9391053607697364	Pearson	0.924	0.847	0.919	0.561
RNCMPT00033	E-scores		0.9072814726244572	0.9064045807872696	0.9379141005816573	Pearson	0.907	0.864	0.921	0.572
RNCMPT00033	Intensities		0.6098874930192311		0.60681954244761	Pearson		0.479	0.551	0.158
RNCMPT00033	Z-scores		0.9011560458555504	0.9069035399408334	0.9011878223258932	Pearson	0.907	0.791	0.884	0.237
RNCMPT00034	AUCs	0.6545541988866914	0.7887459825462549	0.8759138928371367	0.8832704511673427	Pearson	0.872	0.842	0.877	0.553
RNCMPT00034	E-scores	0.6606039864824426	0.815067844768709	0.8597292343514633	0.8791133955576861	Pearson	0.861	0.87	0.898	0.591
RNCMPT00034	Intensities	0.4130001652021813	0.5404907641611636		0.5611548933479664	Pearson		0.517	0.503	0.185
RNCMPT00034	Z-scores	0.718817724809348	0.7781584018232176	0.8771790478180119	0.8528371104059327	Pearson	0.877	0.832	0.863	0.255
RNCMPT00035	AUCs		0.6468506279316314	0.5832610192845186	0.6668326647003464	Pearson	0.58	0.668	0.674	0.351
RNCMPT00035	E-scores		0.6913755767791978	0.623216827748708	0.7094851791207749	Pearson	0.624	0.703	0.697	0.393
RNCMPT00035	Intensities		0.3329415167872768		0.2947487166053537	Pearson		0.027	0.017	0.01
RNCMPT00035	Z-scores		0.5791293208424066	0.4781072301310062	0.5654662887482264	Pearson	0.478	0.586	0.585	0.147
RNCMPT00036	AUCs	0.8956704027428452	0.8861740395373693	0.9241624420828326	0.920915366708158	Pearson	0.923	0.906	0.905	0.658
RNCMPT00036	E-scores	0.9253511779534788	0.9050659072522546	0.913767302870772	0.9345357599887844	Pearson	0.914	0.935	0.939	0.769
RNCMPT00036	Intensities	0.5887811924025508	0.5409421496514912		0.5670209072000323	Pearson		0.512	0.495	0.211
RNCMPT00036	Z-scores	0.8044453777086618	0.8274886630274148	0.8993266268394209	0.8503630809196583	Pearson	0.899	0.835	0.833	0.363
RNCMPT00037	AUCs	0.9240210387242294	0.9381765162188216	0.943013045487542	0.946330809607852	Pearson	0.939	0.945	0.932	0.664
RNCMPT00037	E-scores	0.9256745285202558	0.9030429878561206	0.906268225246798	0.9277311902546048	Pearson	0.907	0.933	0.92	0.657
RNCMPT00037	Intensities	0.5642678904518902	0.594937745571709		0.5937579610993009	Pearson		0.565	0.562	0.12
RNCMPT00037	Z-scores	0.8746511317251651	0.9222579765315102	0.930176912590666	0.9310941427641068	Pearson	0.93	0.927	0.905	0.124
RNCMPT00038	AUCs	0.7657635853609668	0.5779253589285799	0.7870499329145123	0.7648704265584921	Pearson	0.785	0.751	0.701	0.312
RNCMPT00038	E-scores	0.7962462409559299	0.6309296966891459	0.7664366012814953	0.7795697550373045	Pearson	0.768	0.788	0.748	0.441
RNCMPT00038	Intensities	0.358701600588503	0.2053870520901315		0.3317804268152521	Pearson		0.298	0.156	0.108
RNCMPT00038	Z-scores	0.758046964738663	0.5381277381564804	0.8028675733802877	0.8032400483213754	Pearson	0.803	0.77	0.728	0.261
RNCMPT00039	AUCs		0.7289794490931717	0.6588295901747927	0.7009057172177738	Pearson	0.658	0.675	0.715	0.247
RNCMPT00039	E-scores		0.6621326075783447	0.6020783354305612	0.670844014501557	Pearson	0.591	0.63	0.683	0.388
RNCMPT00039	Intensities		0.2819954776600888		0.2839561672445978	Pearson		0.217	0.191	0.157
RNCMPT00039	Z-scores		0.6780732048331793	0.5962752164119167	0.6655627479727723	Pearson	0.596	0.636	0.577	0.187
RNCMPT00040	AUCs		0.8700304986349574	0.9488580608414432	0.8367167364824161	Pearson	0.949	0.856	0.87	0.496
RNCMPT00040	E-scores		0.8673015435920981	0.93442338260528	0.8567863981963117	Pearson	0.935	0.873	0.897	0.574
RNCMPT00040	Intensities		0.5343876825669178		0.5114478984559785	Pearson		0.418	0.42	0.236
RNCMPT00040	Z-scores		0.8361940750766063	0.9449879160255996	0.7125886648231317	Pearson	0.945	0.788	0.762	0.229
RNCMPT00041	AUCs	0.8930644765929957	0.8662797585411518	0.9344083944124968	0.8751892194322684	Pearson	0.935	0.884	0.901	0.666
RNCMPT00041	E-scores	0.9055772200017304	0.8780763320314373	0.9085462047541408	0.8916260991643142	Pearson	0.909	0.902	0.911	0.708
RNCMPT00041	Intensities	0.6138987396928158	0.5999429042823372		0.5747786051668714	Pearson		0.559	0.54	0.229
RNCMPT00041	Z-scores	0.9121768785245916	0.9001651422650263	0.9442510767206378	0.919054081029822	Pearson	0.944	0.902	0.923	0.353
RNCMPT00042	AUCs		0.4810202093285201	0.2798031586291167	0.4569349885163907	Pearson	0.279	0.455	0.456	0.342
RNCMPT00042	E-scores		0.5489305571429877	0.4412883337081435	0.5205355600000089	Pearson	0.445	0.434	0.475	0.251
RNCMPT00042	Intensities		0.1769015030911394		0.1236380927463844	Pearson		0.103	0.127	0.032
RNCMPT00042	Z-scores		0.4296714121437939	0.2381656703399913	0.4153621501826491	Pearson	0.238	0.405	0.391	0.091
RNCMPT00043	AUCs	0.5023916375683871	0.9432622150173762	0.9405082776192204	0.9408460535844154	Pearson	0.939	0.936	0.932	0.868
RNCMPT00043	E-scores	0.6242421445832581	0.9315497601553132	0.8968177902033483	0.9365071359826108	Pearson	0.898	0.933	0.939	0.84
RNCMPT00043	Intensities	0.5509982057333734	0.6760039244343242		0.6532713035760255	Pearson		0.609	0.578	0.196
RNCMPT00043	Z-scores	0.7247491714355329	0.9280375477412028	0.9406229783661212	0.9287211739030766	Pearson	0.941	0.909	0.921	0.302
RNCMPT00044	AUCs	0.6788642289523755	0.8416940594667947	0.7314552383606716	0.8101304540985235	Pearson	0.702	0.803	0.777	0.709
RNCMPT00044	E-scores	0.6518081671246996	0.8621556368794365	0.8025150675969729	0.8311765033362295	Pearson	0.803	0.835	0.812	0.737
RNCMPT00044	Intensities	0.1253355227358799	0.2097185745645893		0.1752122376274567	Pearson		0.164	0.113	0.054
RNCMPT00044	Z-scores	0.6545011295236082	0.8242105576739506	0.7503101057844023	0.8042091398808405	Pearson	0.75	0.805	0.786	0.268
RNCMPT00045	AUCs	0.8827486772423929	0.8715580268840106	0.8491884280126072	0.8981413769659362	Pearson	0.846	0.877	0.766	0.416
RNCMPT00045	E-scores	0.8833201532470659	0.8609634739883125	0.818765177094904	0.8980840459195716	Pearson	0.819	0.884	0.748	0.432
RNCMPT00045	Intensities	0.4173628866286109	0.4576231418629486		0.4680283890165634	Pearson		0.266	0.066	0.066
RNCMPT00045	Z-scores	0.8217170971345411	0.8222169359266898	0.7842012836062211	0.8455624855386351	Pearson	0.784	0.789	0.705	0.216
RNCMPT00046	AUCs		0.7753464831548025	0.7505987162868862	0.7351104597178485	Pearson	0.751	0.765	0.628	0.204
RNCMPT00046	E-scores		0.7377458144792894	0.7441752581406816	0.7155078630184591	Pearson	0.746	0.754	0.619	0.285
RNCMPT00046	Intensities		0.3274793942722432		0.3741973872848784	Pearson		0.351	0.254	0.234
RNCMPT00046	Z-scores		0.6993126591799568	0.6619615299309953	0.5390202237602705	Pearson	0.662	0.435	0.337	0.196
RNCMPT00047	AUCs	0.5761053969014331	0.5927227550818638	0.4249354291347708	0.5565991614860248	Pearson	0.378	0.521	0.191	0.298
RNCMPT00047	E-scores	0.7393696425283275	0.7491409689515428	0.6789465793615453	0.733320063779675	Pearson	0.68	0.72	0.233	0.287
RNCMPT00047	Intensities	0.0618157215303094	0.0728526709249464		0.0496369463048655	Pearson		0.013	0.002	0.006
RNCMPT00047	Z-scores	0.6062041251785502	0.6346479171308329	0.5451670836393584	0.6026097083211865	Pearson	0.545	0.592	-0.003	0.218
RNCMPT00049	AUCs	0.9334799140879784	0.940026423724797	0.9284321559750756	0.9495289291869936	Pearson	0.926	0.935	0.942	0.524
RNCMPT00049	E-scores	0.9271969381493016	0.9245045694767876	0.9087624641753568	0.9368315868126628	Pearson	0.909	0.92	0.929	0.54
RNCMPT00049	Intensities	0.5964743692187885	0.626002337209903		0.6269598438182097	Pearson		0.571	0.603	0.174
RNCMPT00049	Z-scores	0.9107669136330308	0.9178855236425744	0.9030533352012812	0.91901015755661	Pearson	0.903	0.909	0.919	0.163
RNCMPT00050	AUCs		0.8898749321024539	0.884403505217245	0.914336266106751	Pearson	0.883	0.903	0.904	0.546
RNCMPT00050	E-scores		0.8688541156574434	0.8613993527213418	0.9112155236412518	Pearson	0.862	0.883	0.895	0.576
RNCMPT00050	Intensities		0.6338813007313968		0.6495555526540213	Pearson		0.624	0.595	0.198
RNCMPT00050	Z-scores		0.860300493689694	0.854804446578448	0.8854786133405863	Pearson	0.855	0.866	0.861	0.298
RNCMPT00051	AUCs	0.4776824497001378	0.6241964494761695	0.5480542286755525	0.4613479170910493	Pearson	0.548	0.572	0.001	0.484
